,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime,LizardTemp,LizardTime,DevT,Abs_DevT
276,AP_T14_CopperPLA,33.99951346,11,AP,T14,CopperPLA,n,n,,,-33.99951346,33.99951346
277,AP_T14_ABS,NA,NA,AP,T14,ABS,n,n,,,,
278,AP_T14_PLA,NA,NA,AP,T14,PLA,n,n,,,,
280,AP_T15_CopperPLA,33.34760207,5,AP,T15,CopperPLA,n,n,,,-33.34760207,33.34760207
281,AP_T15_ABS,NA,NA,AP,T15,ABS,n,n,,,,
282,AP_T15_PLA,NA,NA,AP,T15,PLA,n,n,,,,
284,AP_T17_Copper,30.1023758,9,AP,T17,CopperPLA,y,y,30.49835427,20,0.39597847,0.39597847
285,AP_T17_ABS,30.60077899,9,AP,T17,ABS,y,y,30.49835427,20,-0.10242472,0.10242472
286,AP_T17_PLA,29.97575772,4,AP,T17,PLA,y,y,30.49835427,20,0.52259655,0.52259655
288,AP_T18_CopperPLA,32.68198567,32,AP,T18,CopperPLA,y,y,32.70526329,54,0.02327762,0.02327762
289,AP_T18_ABS,33.007798,28,AP,T18,ABS,y,y,32.70526329,54,-0.30253471,0.30253471
290,AP_T18_PLA,32.80804228,34,AP,T18,PLA,y,y,32.70526329,54,-0.10277899,0.10277899
292,AP_T19_CopperPLA,34.0708953,18,AP,T19,CopperPLA,y,y,30.51729846,51,-3.55359684,3.55359684
293,AP_T19_ABS,33.74789579,19,AP,T19,ABS,y,y,30.51729846,51,-3.23059733,3.23059733
294,AP_T19_PLA,33.69646519,16,AP,T19,PLA,y,y,30.51729846,51,-3.17916673,3.17916673
296,AC_T20_CopperPLA,28.52011099,68,AC,T20,CopperPLA,y,y,28.29176696,128,-0.22834403,0.22834403
297,AC_T20_ABS,28.3906275,64,AC,T20,ABS,y,y,28.29176696,128,-0.09886054,0.09886054
298,AC_T20_PLA,28.18030681,71,AC,T20,PLA,y,y,28.29176696,128,0.11146015,0.11146015
300,AC_T21_CopperPLA,29.89612476,51,AC,T21,CopperPLA,y,y,30.07265452,110,0.17652976,0.17652976
301,AC_T21_ABS,31.70408759,79,AC,T21,ABS,y,y,30.07265452,110,-1.63143307,1.63143307
302,AC_T21_PLA,30.89803483,81,AC,T21,PLA,y,y,30.07265452,110,-0.82538031,0.82538031
304,AP_T22_CopperPLA,32.35062391,34,AP,T22,CopperPLA,y,y,32.28525194,65,-0.06537197,0.06537197
305,AP_T22_ABS,31.68151469,33,AP,T22,ABS,y,y,32.28525194,65,0.60373725,0.60373725
306,AP_T22_PLA,31.69050053,30,AP,T22,PLA,y,y,32.28525194,65,0.59475141,0.59475141
308,AP_T23_CopperPLA,33.09474812,38,AP,T23,CopperPLA,y,y,33.62702241,77,0.53227429,0.53227429
309,AP_T23_ABS,32.29439803,82,AP,T23,ABS,y,y,33.62702241,77,1.33262438,1.33262438
310,AP_T23_PLA,33.06083581,65,AP,T23,PLA,y,y,33.62702241,77,0.5661866,0.5661866
312,AP_T24_CopperPLA,34.3620506,38,AP,T24,CopperPLA,y,y,31.75804919,36,-2.60400141,2.60400141
313,AP_T24_ABS,33.57979585,40,AP,T24,ABS,y,y,31.75804919,36,-1.82174666,1.82174666
314,AP_T24_PLA,34.07912252,40,AP,T24,PLA,y,y,31.75804919,36,-2.32107333,2.32107333
316,AP_T26_CopperPLA,35.0124405,69,AP,T26,CopperPLA,y,y,32.9485767,51,-2.0638638,2.0638638
317,AP_T26_ABS,32.76460649,60,AP,T26,ABS,y,y,32.9485767,51,0.18397021,0.18397021
318,AP_T26_PLA,33.68372137,58,AP,T26,PLA,y,y,32.9485767,51,-0.73514467,0.73514467
320,AG_T27_CopperPLA,23.1723779,23,AG,T27,CopperPLA,y,y,22.90124674,82,-0.27113116,0.27113116
321,AG_T27_ABS,22.9465035,13,AG,T27,ABS,y,y,22.90124674,82,-0.04525676,0.04525676
322,AG_T27_PLA,23.01733855,13,AG,T27,PLA,y,y,22.90124674,82,-0.11609181,0.11609181
324,AG_T28_CopperPLA,22.59278547,23,AG,T28,CopperPLA,y,y,22.36617182,59,-0.22661365,0.22661365
325,AG_T28_ABS,22.60042784,16,AG,T28,ABS,y,y,22.36617182,59,-0.23425602,0.23425602
